dataset,x,y,LAD11NM
uc,18262,0.039928824845283276,Camden
uc,18293,0.04211901354987687,Camden
uc,18322,0.043657036883375605,Camden
uc,18353,0.06204266563682508,Camden
uc,18383,0.0874934192438023,Camden
uc,18414,0.09262378682974859,Camden
uc,18444,0.09492810447428379,Camden
uc,18475,0.09649330136491147,Camden
uc,18506,0.0984280586324929,Camden
uc,18536,0.10016716628874589,Camden
uc,18567,0.10390081303826401,Camden
uc,18597,0.10709098864520307,Camden
uc,18628,0.1081127143932517,Camden
uc,18659,0.11124310817450705,Camden
uc,18262,0.028923989288546482,City of London
uc,18293,0.03064793566998303,City of London
uc,18322,0.03122258446379521,City of London
uc,18353,0.04673810189672412,City of London
uc,18383,0.06665926008221308,City of London
uc,18414,0.06742545847396267,City of London
uc,18444,0.06838320646364963,City of London
uc,18475,0.07221419842239751,City of London
uc,18506,0.07412969440177145,City of London
uc,18536,0.07815223595845673,City of London
uc,18567,0.08102547992751763,City of London
uc,18597,0.08562267027801508,City of London
uc,18628,0.08811281505120121,City of London
uc,18659,0.09079450942232473,City of London
uc,18262,0.06198154835058324,Hackney
uc,18293,0.06563193401382857,Hackney
uc,18322,0.06852223937458993,Hackney
uc,18353,0.09391492211152108,Hackney
uc,18383,0.13874465837315714,Hackney
uc,18414,0.1454103626048092,Hackney
uc,18444,0.15001584917446528,Hackney
uc,18475,0.15306617144101275,Hackney
uc,18506,0.15641652540590914,Hackney
uc,18536,0.15895679378526342,Hackney
uc,18567,0.16365729039273,Hackney
uc,18597,0.16828277907560935,Hackney
uc,18628,0.17054801839814376,Hackney
uc,18659,0.17466345319382992,Hackney
uc,18262,0.07642576229489906,Hammersmith & Fulham
uc,18293,0.07851636904309593,Hammersmith & Fulham
uc,18322,0.07945046993058814,Hammersmith & Fulham
uc,18353,0.09561189798402495,Hammersmith & Fulham
uc,18383,0.13329471394531817,Hammersmith & Fulham
uc,18414,0.14006323863008321,Hammersmith & Fulham
uc,18444,0.14287295479166695,Hammersmith & Fulham
uc,18475,0.14490425354700717,Hammersmith & Fulham
uc,18506,0.14789930718626793,Hammersmith & Fulham
uc,18536,0.14993801944071525,Hammersmith & Fulham
uc,18567,0.15557969226120397,Hammersmith & Fulham
uc,18597,0.15860439989689304,Hammersmith & Fulham
uc,18628,0.15950884678795693,Hammersmith & Fulham
uc,18659,0.1632155963414975,Hammersmith & Fulham
uc,18262,0.07228258098889893,Haringey
uc,18293,0.07713583239594272,Haringey
uc,18322,0.08053630130943064,Haringey
uc,18353,0.10829349356726005,Haringey
uc,18383,0.1709706811463848,Haringey
uc,18414,0.18233750681025052,Haringey
uc,18444,0.18693000238511762,Haringey
uc,18475,0.19025596963226934,Haringey
uc,18506,0.19591277472622498,Haringey
uc,18536,0.2000316525650977,Haringey
uc,18567,0.20771596729291703,Haringey
uc,18597,0.21483619797561943,Haringey
uc,18628,0.21727878832192765,Haringey
uc,18659,0.22353692829416832,Haringey
uc,18262,0.056082862724434614,Islington
uc,18293,0.058626214092356216,Islington
uc,18322,0.06083831219160812,Islington
uc,18353,0.08063490584125838,Islington
uc,18383,0.11419816075833417,Islington
uc,18414,0.1194476828974218,Islington
uc,18444,0.12244580570199164,Islington
uc,18475,0.1245063133223608,Islington
uc,18506,0.12750443612693063,Islington
uc,18536,0.1300028717974055,Islington
uc,18567,0.1342979353657499,Islington
uc,18597,0.13851439646356256,Islington
uc,18628,0.13941271041249734,Islington
uc,18659,0.14240521875488632,Islington
uc,18262,0.04290922031798835,Kensington & Chelsea
uc,18293,0.04470386624007552,Kensington & Chelsea
uc,18322,0.04637441430584814,Kensington & Chelsea
uc,18353,0.05988198866623825,Kensington & Chelsea
uc,18383,0.08599981442597487,Kensington & Chelsea
uc,18414,0.09062007307645459,Kensington & Chelsea
uc,18444,0.09279655855643265,Kensington & Chelsea
uc,18475,0.09478212425746525,Kensington & Chelsea
uc,18506,0.0967199600137615,Kensington & Chelsea
uc,18536,0.0982664102232196,Kensington & Chelsea
uc,18567,0.10194161596791937,Kensington & Chelsea
uc,18597,0.10450948699473558,Kensington & Chelsea
uc,18628,0.10609412115998276,Kensington & Chelsea
uc,18659,0.10887200394363895,Kensington & Chelsea
uc,18262,0.0702310971376796,Lambeth
uc,18293,0.07291214931889428,Lambeth
uc,18322,0.07523157120589861,Lambeth
uc,18353,0.09680884542711635,Lambeth
uc,18383,0.13826331581975831,Lambeth
uc,18414,0.1452215814807713,Lambeth
uc,18444,0.14952789165090838,Lambeth
uc,18475,0.1528366010094307,Lambeth
uc,18506,0.15650278399211495,Lambeth
uc,18536,0.15932100628492668,Lambeth
uc,18567,0.1648161240889047,Lambeth
uc,18597,0.16904761419817066,Lambeth
uc,18628,0.17057726877597998,Lambeth
uc,18659,0.17436399519006768,Lambeth
uc,18262,0.07609280333896772,Lewisham
uc,18293,0.07954898820542636,Lewisham
uc,18322,0.08237161798008547,Lewisham
uc,18353,0.10820080802859924,Lewisham
uc,18383,0.15543375852917632,Lewisham
uc,18414,0.16302223556155132,Lewisham
uc,18444,0.16675264576625154,Lewisham
uc,18475,0.17020410260963706,Lewisham
uc,18506,0.17434585082169968,Lewisham
uc,18536,0.1774143377961616,Lewisham
uc,18567,0.18350875953742724,Lewisham
uc,18597,0.18702640870383658,Lewisham
uc,18628,0.18796255727231648,Lewisham
uc,18659,0.19172133561545548,Lewisham
uc,18262,0.07174615500350898,Newham
uc,18293,0.07618571379630959,Newham
uc,18322,0.07935911683231871,Newham
uc,18353,0.1031516259583567,Newham
uc,18383,0.1674210510815715,Newham
uc,18414,0.17975004242222808,Newham
uc,18444,0.18470648125498473,Newham
uc,18475,0.18763947497008407,Newham
uc,18506,0.19254382511664359,Newham
uc,18536,0.19692328157921676,Newham
uc,18567,0.2066278044999416,Newham
uc,18597,0.21376395450894692,Newham
uc,18628,0.2155750380598006,Newham
uc,18659,0.2221943080288499,Newham
uc,18262,0.09144621206051903,Southwark
uc,18293,0.0940479030220339,Southwark
uc,18322,0.09566912201788699,Southwark
uc,18353,0.12171183352686904,Southwark
uc,18383,0.1568110097713062,Southwark
uc,18414,0.1635109015366619,Southwark
uc,18444,0.1676177029717804,Southwark
uc,18475,0.17014628856743455,Southwark
uc,18506,0.17483363261380022,Southwark
uc,18536,0.1770525954834559,Southwark
uc,18567,0.18191625247101512,Southwark
uc,18597,0.18491357247130583,Southwark
uc,18628,0.18595854917155064,Southwark
uc,18659,0.18965252030533788,Southwark
uc,18262,0.07991331912614953,Tower Hamlets
uc,18293,0.08278050201948314,Tower Hamlets
uc,18322,0.08461115232164075,Tower Hamlets
uc,18353,0.11592864710261556,Tower Hamlets
uc,18383,0.14956998107993658,Tower Hamlets
uc,18414,0.1559939754050878,Tower Hamlets
uc,18444,0.1609133256462739,Tower Hamlets
uc,18475,0.164277877000696,Tower Hamlets
uc,18506,0.16824010642180423,Tower Hamlets
uc,18536,0.1720727692690155,Tower Hamlets
uc,18567,0.1797297358296382,Tower Hamlets
uc,18597,0.1837880952894442,Tower Hamlets
