dataset,xwhich,xvarchar,xvardt,yval,yvllb,text
aq_ds,2,,16467,28.16249999999999,,Feb 15
aq_ds,2,,16495,31.15456989247309,,Mar 15
aq_ds,2,,16526,25.544583333333357,,Apr 15
aq_ds,2,,16556,20.13508064516128,,May 15
aq_ds,2,,16587,22.599583333333335,,Jun 15
aq_ds,2,,16617,20.00645161290323,,Jul 15
aq_ds,2,,16648,20.514247311827972,,Aug 15
aq_ds,2,,16679,20.42486111111111,,Sep 15
aq_ds,2,,16709,26.014247311827937,,Oct 15
aq_ds,2,,16740,21.824722222222206,,Nov 15
aq_ds,2,,16770,24.14704301075268,,Dec 15
aq_ds,2,,16801,23.206989247311824,,Jan 16
aq_ds,2,,16832,23.089655172413774,,Feb 16
aq_ds,2,,16861,26.07150537634409,,Mar 16
aq_ds,2,,16892,21.074861111111115,,Apr 16
aq_ds,2,,16922,22.38467741935483,,May 16
aq_ds,2,,16953,21.27659722222221,,Jun 16
aq_ds,2,,16983,16.991129032258073,,Jul 16
aq_ds,2,,17014,20.73387096774192,,Aug 16
aq_ds,2,,17045,21.541388888888914,,Sep 16
aq_ds,2,,17075,24.327822580645122,,Oct 16
aq_ds,2,,17106,24.587777777777784,,Nov 16
aq_ds,2,,17136,33.17930107526886,,Dec 16
aq_ds,2,,17167,31.25430107526879,,Jan 17
aq_ds,2,,17198,25.618005952380962,,Feb 17
aq_ds,2,,17226,23.054435483870982,,Mar 17
aq_ds,2,,17257,22.397916666666674,,Apr 17
aq_ds,2,,17287,22.330645161290306,,May 17
aq_ds,2,,17318,21.073055555555555,,Jun 17
aq_ds,2,,17348,17.15819892473116,,Jul 17
aq_ds,2,,17379,17.810483870967747,,Aug 17
aq_ds,2,,17410,19.244583333333313,,Sep 17
aq_ds,2,,17440,19.97311827956985,,Oct 17
aq_ds,2,,17471,22.804583333333362,,Nov 17
aq_ds,2,,17501,17.50618279569893,,Dec 17
aq_ds,2,,17532,19.253360215053746,,Jan 18
aq_ds,2,,17563,23.483482142857138,,Feb 18
aq_ds,2,,17591,26.291532258064507,,Mar 18
aq_ds,2,,17622,25.677916666666682,,Apr 18
aq_ds,2,,17652,29.30806451612902,,May 18
aq_ds,2,,17683,21.25236111111111,,Jun 18
aq_ds,2,,17713,22.91935483870968,,Jul 18
aq_ds,2,,17744,16.284946236559136,,Aug 18
aq_ds,2,,17775,18.960277777777783,,Sep 18
aq_ds,2,,17805,19.320430107526878,,Oct 18
aq_ds,2,,17836,23.891944444444448,,Nov 18
aq_ds,2,,17866,19.69139784946236,,Dec 18
aq_ds,2,,17897,22.723333333333336,,Jan 19
aq_ds,2,,17928,28.672916666666676,,Feb 19
aq_ds,2,,17956,20.914650537634405,,Mar 19
aq_ds,2,,17987,32.253750000000075,,Apr 19
aq_ds,2,,18017,19.479973118279556,,May 19
aq_ds,2,,18048,17.953333333333333,,Jun 19
aq_ds,2,,18078,18.469086021505365,,Jul 19
fpov,1,2012.0,NA,0.085,London,
fpov,1,2012.0,NA,0.107,England,
fpov,1,2013.0,NA,0.096,London,
fpov,1,2013.0,NA,0.105,England,
fpov,1,2014.0,NA,0.096,London,
fpov,1,2014.0,NA,0.105,England,
fpov,1,2015.0,NA,0.09699999999999999,London,
fpov,1,2015.0,NA,0.11,England,
fpov,1,2016.0,NA,0.1,London,
fpov,1,2016.0,NA,0.111,England,
fpov,1,2017.0,NA,0.11800000000000001,London,
fpov,1,2017.0,NA,0.109,England,
gp,2,,17956,2727508,Face-to-Face,01 Mar 19
gp,2,,17956,17578,Home Visit,01 Mar 19
gp,2,,17956,470866,Telephone,01 Mar 19
gp,2,,17956,289407,Unknown,01 Mar 19
gp,2,,17956,11686,Video/Online,01 Mar 19
gp,2,,17987,2516711,Face-to-Face,01 Apr 19
gp,2,,17987,16425,Home Visit,01 Apr 19
gp,2,,17987,443286,Telephone,01 Apr 19
gp,2,,17987,263417,Unknown,01 Apr 19
gp,2,,17987,10266,Video/Online,01 Apr 19
gp,2,,18017,2630785,Face-to-Face,01 May 19
gp,2,,18017,17623,Home Visit,01 May 19
gp,2,,18017,462628,Telephone,01 May 19
gp,2,,18017,261042,Unknown,01 May 19
gp,2,,18017,10680,Video/Online,01 May 19
gp,2,,18048,2485079,Face-to-Face,01 Jun 19
gp,2,,18048,16126,Home Visit,01 Jun 19
gp,2,,18048,429354,Telephone,01 Jun 19
gp,2,,18048,243266,Unknown,01 Jun 19
gp,2,,18048,10434,Video/Online,01 Jun 19
gp,2,,18078,2843869,Face-to-Face,01 Jul 19
gp,2,,18078,18613,Home Visit,01 Jul 19
gp,2,,18078,495486,Telephone,01 Jul 19
gp,2,,18078,256998,Unknown,01 Jul 19
gp,2,,18078,11963,Video/Online,01 Jul 19
gp,2,,18109,2429474,Face-to-Face,01 Aug 19
gp,2,,18109,16560,Home Visit,01 Aug 19
gp,2,,18109,424300,Telephone,01 Aug 19
gp,2,,18109,213753,Unknown,01 Aug 19
gp,2,,18109,10153,Video/Online,01 Aug 19
gp,2,,18140,2770549,Face-to-Face,01 Sep 19
gp,2,,18140,18301,Home Visit,01 Sep 19
gp,2,,18140,460076,Telephone,01 Sep 19
gp,2,,18140,232120,Unknown,01 Sep 19
gp,2,,18140,10869,Video/Online,01 Sep 19
gp,2,,18170,3203618,Face-to-Face,01 Oct 19
gp,2,,18170,21894,Home Visit,01 Oct 19
gp,2,,18170,513323,Telephone,01 Oct 19
gp,2,,18170,271776,Unknown,01 Oct 19
