dtst,x,y,LAD11NM
clmts,17471,2.3,Barking & Dagenham
clmts,17471,1.4,Barnet
clmts,17471,1.4,Bexley
clmts,17471,2.2,Brent
clmts,17471,1.1,Bromley
clmts,17471,1.5,Camden
clmts,17471,1.3,City of London
clmts,17471,3.6,Croydon
clmts,17471,2.2,Ealing
clmts,17471,2.1,Enfield
clmts,17471,2.1,Greenwich
clmts,17471,2.4,Hackney
clmts,17471,3.1,Hammersmith & Fulham
clmts,17471,2.4,Haringey
clmts,17471,1.1,Harrow
clmts,17471,1.5,Havering
clmts,17471,1.3,Hillingdon
clmts,17471,2.7,Hounslow
clmts,17471,2.1,Islington
clmts,17471,1.8,Kensington & Chelsea
clmts,17471,1.1,Kingston upon Thames
clmts,17471,2.4,Lambeth
clmts,17471,2.5,Lewisham
clmts,17471,1.7,Merton
clmts,17471,1.9,Newham
clmts,17471,1.2,Redbridge
clmts,17471,1.2,Richmond upon Thames
clmts,17471,3.1,Southwark
clmts,17471,2.1,Sutton
clmts,17471,2.7,Tower Hamlets
clmts,17471,2.1,Waltham Forest
clmts,17471,1.4,Wandsworth
clmts,17471,1.4,Westminster
clmts,17471,1.9,United Kingdom
clmts,17501,2.3,Barking & Dagenham
clmts,17501,1.4,Barnet
clmts,17501,1.4,Bexley
clmts,17501,2.2,Brent
clmts,17501,1.1,Bromley
clmts,17501,1.5,Camden
clmts,17501,1.3,City of London
clmts,17501,3.5,Croydon
clmts,17501,2.2,Ealing
clmts,17501,2.1,Enfield
clmts,17501,2.1,Greenwich
clmts,17501,2.4,Hackney
clmts,17501,3.1,Hammersmith & Fulham
clmts,17501,2.4,Haringey
clmts,17501,1.1,Harrow
clmts,17501,1.5,Havering
clmts,17501,1.3,Hillingdon
clmts,17501,2.7,Hounslow
clmts,17501,2.1,Islington
clmts,17501,1.7,Kensington & Chelsea
clmts,17501,1.1,Kingston upon Thames
clmts,17501,2.4,Lambeth
clmts,17501,2.5,Lewisham
clmts,17501,1.7,Merton
clmts,17501,1.9,Newham
clmts,17501,1.2,Redbridge
clmts,17501,1.2,Richmond upon Thames
clmts,17501,3.1,Southwark
clmts,17501,2.1,Sutton
clmts,17501,2.7,Tower Hamlets
clmts,17501,2.1,Waltham Forest
clmts,17501,1.4,Wandsworth
clmts,17501,1.4,Westminster
clmts,17501,1.9,United Kingdom
clmts,17532,2.4,Barking & Dagenham
clmts,17532,1.4,Barnet
clmts,17532,1.4,Bexley
clmts,17532,2.2,Brent
clmts,17532,1.1,Bromley
clmts,17532,1.5,Camden
clmts,17532,1.1,City of London
clmts,17532,3.5,Croydon
clmts,17532,2.2,Ealing
clmts,17532,2.1,Enfield
clmts,17532,2.1,Greenwich
clmts,17532,2.4,Hackney
clmts,17532,3.1,Hammersmith & Fulham
clmts,17532,2.4,Haringey
clmts,17532,1.1,Harrow
clmts,17532,1.6,Havering
clmts,17532,1.3,Hillingdon
clmts,17532,2.7,Hounslow
clmts,17532,2.1,Islington
clmts,17532,1.7,Kensington & Chelsea
clmts,17532,1.1,Kingston upon Thames
clmts,17532,2.5,Lambeth
clmts,17532,2.5,Lewisham
clmts,17532,1.7,Merton
clmts,17532,1.9,Newham
clmts,17532,1.3,Redbridge
clmts,17532,1.2,Richmond upon Thames
clmts,17532,3.1,Southwark
clmts,17532,2.1,Sutton
clmts,17532,2.6,Tower Hamlets
clmts,17532,2.1,Waltham Forest
clmts,17532,1.4,Wandsworth
clmts,17532,1.4,Westminster
clmts,17532,2,United Kingdom
clmts,17563,2.4,Barking & Dagenham
clmts,17563,1.4,Barnet
clmts,17563,1.4,Bexley
clmts,17563,2.2,Brent
clmts,17563,1.2,Bromley
clmts,17563,1.5,Camden
clmts,17563,1.1,City of London
clmts,17563,3.8,Croydon
clmts,17563,2.3,Ealing
clmts,17563,2.2,Enfield
clmts,17563,2.2,Greenwich
clmts,17563,2.5,Hackney
clmts,17563,3.3,Hammersmith & Fulham
clmts,17563,2.4,Haringey
clmts,17563,1.1,Harrow
clmts,17563,1.6,Havering
clmts,17563,1.3,Hillingdon
clmts,17563,3,Hounslow
clmts,17563,2.1,Islington
clmts,17563,1.8,Kensington & Chelsea
clmts,17563,1.1,Kingston upon Thames
clmts,17563,2.5,Lambeth
clmts,17563,2.6,Lewisham
clmts,17563,1.8,Merton
clmts,17563,1.9,Newham
clmts,17563,1.3,Redbridge
clmts,17563,1.2,Richmond upon Thames
clmts,17563,3.3,Southwark
clmts,17563,2.3,Sutton
clmts,17563,2.8,Tower Hamlets
clmts,17563,2.2,Waltham Forest
clmts,17563,1.4,Wandsworth
clmts,17563,1.4,Westminster
clmts,17563,2.1,United Kingdom
clmts,17591,2.5,Barking & Dagenham
clmts,17591,1.4,Barnet
clmts,17591,1.4,Bexley
clmts,17591,2.3,Brent
clmts,17591,1.2,Bromley
clmts,17591,1.6,Camden
clmts,17591,1.1,City of London
clmts,17591,3.8,Croydon
clmts,17591,2.3,Ealing
clmts,17591,2.3,Enfield
clmts,17591,2.2,Greenwich
clmts,17591,2.5,Hackney
clmts,17591,3.3,Hammersmith & Fulham
clmts,17591,2.5,Haringey
clmts,17591,1.2,Harrow
clmts,17591,1.6,Havering
clmts,17591,1.4,Hillingdon
clmts,17591,3,Hounslow
clmts,17591,2.2,Islington
clmts,17591,1.8,Kensington & Chelsea
clmts,17591,1.1,Kingston upon Thames
clmts,17591,2.6,Lambeth
clmts,17591,2.6,Lewisham
clmts,17591,1.9,Merton
clmts,17591,1.9,Newham
clmts,17591,1.3,Redbridge
clmts,17591,1.2,Richmond upon Thames
clmts,17591,3.3,Southwark
clmts,17591,2.2,Sutton
clmts,17591,2.8,Tower Hamlets
clmts,17591,2.2,Waltham Forest
clmts,17591,1.4,Wandsworth
clmts,17591,1.5,Westminster
clmts,17591,2.1,United Kingdom
clmts,17622,2.5,Barking & Dagenham
clmts,17622,1.4,Barnet
clmts,17622,1.4,Bexley
clmts,17622,2.2,Brent
clmts,17622,1.2,Bromley
clmts,17622,1.6,Camden
clmts,17622,1.2,City of London
clmts,17622,4.1,Croydon
clmts,17622,2.3,Ealing
clmts,17622,2.4,Enfield
clmts,17622,2.2,Greenwich
clmts,17622,2.5,Hackney
clmts,17622,3.5,Hammersmith & Fulham
clmts,17622,2.4,Haringey
clmts,17622,1.2,Harrow
clmts,17622,1.7,Havering
clmts,17622,1.4,Hillingdon
clmts,17622,3.3,Hounslow
clmts,17622,2.1,Islington
clmts,17622,1.9,Kensington & Chelsea
clmts,17622,1.1,Kingston upon Thames
clmts,17622,2.7,Lambeth
clmts,17622,2.6,Lewisham
clmts,17622,2,Merton
clmts,17622,1.9,Newham
clmts,17622,1.3,Redbridge
clmts,17622,1.3,Richmond upon Thames
clmts,17622,3.6,Southwark
clmts,17622,2.5,Sutton
clmts,17622,2.9,Tower Hamlets
clmts,17622,2.2,Waltham Forest
clmts,17622,1.5,Wandsworth
clmts,17622,1.4,Westminster
clmts,17622,2.2,United Kingdom
clmts,17652,2.6,Barking & Dagenham
clmts,17652,1.4,Barnet
clmts,17652,1.4,Bexley
clmts,17652,2.2,Brent
clmts,17652,1.1,Bromley
clmts,17652,1.5,Camden
clmts,17652,1.1,City of London
clmts,17652,3.9,Croydon
clmts,17652,2.3,Ealing
clmts,17652,2.4,Enfield
clmts,17652,2.2,Greenwich
clmts,17652,2.5,Hackney
clmts,17652,3.4,Hammersmith & Fulham
clmts,17652,2.4,Haringey
clmts,17652,1.2,Harrow
clmts,17652,1.6,Havering
clmts,17652,1.3,Hillingdon
clmts,17652,3,Hounslow
clmts,17652,2.2,Islington
clmts,17652,1.9,Kensington & Chelsea
clmts,17652,1.1,Kingston upon Thames
clmts,17652,2.8,Lambeth
clmts,17652,2.6,Lewisham
clmts,17652,2,Merton
clmts,17652,1.9,Newham
clmts,17652,1.3,Redbridge
clmts,17652,1.2,Richmond upon Thames
clmts,17652,3.4,Southwark
clmts,17652,2.2,Sutton
clmts,17652,2.8,Tower Hamlets
clmts,17652,2.2,Waltham Forest
clmts,17652,1.5,Wandsworth
clmts,17652,1.5,Westminster
clmts,17652,2.2,United Kingdom
clmts,17683,2.7,Barking & Dagenham
clmts,17683,1.4,Barnet
clmts,17683,1.3,Bexley
clmts,17683,2.1,Brent
clmts,17683,1.2,Bromley
clmts,17683,1.5,Camden
clmts,17683,1.1,City of London
clmts,17683,3.8,Croydon
clmts,17683,2.4,Ealing
clmts,17683,2.4,Enfield
clmts,17683,2.2,Greenwich
clmts,17683,2.5,Hackney
clmts,17683,3.4,Hammersmith & Fulham
clmts,17683,2.4,Haringey
clmts,17683,1.1,Harrow
clmts,17683,1.6,Havering
clmts,17683,1.3,Hillingdon
clmts,17683,3,Hounslow
clmts,17683,2.2,Islington
clmts,17683,1.9,Kensington & Chelsea
clmts,17683,1.1,Kingston upon Thames
clmts,17683,2.8,Lambeth
clmts,17683,2.6,Lewisham
clmts,17683,2,Merton
clmts,17683,1.9,Newham
clmts,17683,1.3,Redbridge
clmts,17683,1.2,Richmond upon Thames
clmts,17683,3.4,Southwark
clmts,17683,2.2,Sutton
clmts,17683,2.8,Tower Hamlets
clmts,17683,2.2,Waltham Forest
clmts,17683,1.5,Wandsworth
clmts,17683,1.4,Westminster
clmts,17683,2.1,United Kingdom
clmts,17713,2.8,Barking & Dagenham
clmts,17713,1.4,Barnet
clmts,17713,1.2,Bexley
clmts,17713,2.1,Brent
clmts,17713,1.1,Bromley
clmts,17713,1.5,Camden
clmts,17713,1.1,City of London
clmts,17713,3.8,Croydon
clmts,17713,2.4,Ealing
clmts,17713,2.5,Enfield
clmts,17713,2.1,Greenwich
clmts,17713,2.5,Hackney
clmts,17713,3.4,Hammersmith & Fulham
clmts,17713,2.4,Haringey
clmts,17713,1.1,Harrow
clmts,17713,1.5,Havering
clmts,17713,1.3,Hillingdon
clmts,17713,3,Hounslow
clmts,17713,2.2,Islington
clmts,17713,1.8,Kensington & Chelsea
clmts,17713,1.1,Kingston upon Thames
clmts,17713,2.9,Lambeth
clmts,17713,2.5,Lewisham
clmts,17713,2.1,Merton
clmts,17713,1.9,Newham
clmts,17713,1.2,Redbridge
clmts,17713,1.2,Richmond upon Thames
clmts,17713,3.4,Southwark
clmts,17713,2.2,Sutton
clmts,17713,2.9,Tower Hamlets
clmts,17713,2.2,Waltham Forest
clmts,17713,1.5,Wandsworth
clmts,17713,1.4,Westminster
clmts,17713,2.1,United Kingdom
clmts,17744,2.8,Barking & Dagenham
clmts,17744,1.5,Barnet
clmts,17744,1.2,Bexley
clmts,17744,2.1,Brent
clmts,17744,1.1,Bromley
clmts,17744,1.4,Camden
clmts,17744,1,City of London
clmts,17744,3.8,Croydon
clmts,17744,2.5,Ealing
clmts,17744,2.6,Enfield
clmts,17744,2.1,Greenwich
clmts,17744,2.5,Hackney
clmts,17744,3.4,Hammersmith & Fulham
clmts,17744,2.4,Haringey
clmts,17744,1.1,Harrow
clmts,17744,1.6,Havering
clmts,17744,1.3,Hillingdon
clmts,17744,3,Hounslow
clmts,17744,2.2,Islington
clmts,17744,1.8,Kensington & Chelsea
clmts,17744,1.1,Kingston upon Thames
clmts,17744,3,Lambeth
clmts,17744,2.5,Lewisham
clmts,17744,2.1,Merton
clmts,17744,1.9,Newham
clmts,17744,1.3,Redbridge
clmts,17744,1.2,Richmond upon Thames
clmts,17744,3.4,Southwark
clmts,17744,2.3,Sutton
clmts,17744,2.9,Tower Hamlets
clmts,17744,2.2,Waltham Forest
clmts,17744,1.5,Wandsworth
clmts,17744,1.4,Westminster
clmts,17744,2.2,United Kingdom
clmts,17775,2.9,Barking & Dagenham
clmts,17775,1.6,Barnet
clmts,17775,1.2,Bexley
clmts,17775,2.2,Brent
clmts,17775,1.2,Bromley
clmts,17775,1.5,Camden
clmts,17775,1.1,City of London
clmts,17775,3.9,Croydon
clmts,17775,2.7,Ealing
clmts,17775,2.6,Enfield
clmts,17775,2.1,Greenwich
clmts,17775,2.5,Hackney
clmts,17775,3.4,Hammersmith & Fulham
clmts,17775,2.4,Haringey
clmts,17775,1.2,Harrow
clmts,17775,1.6,Havering
clmts,17775,1.3,Hillingdon
clmts,17775,3.1,Hounslow
clmts,17775,2.3,Islington
clmts,17775,1.8,Kensington & Chelsea
clmts,17775,1.1,Kingston upon Thames
clmts,17775,3,Lambeth
clmts,17775,2.6,Lewisham
clmts,17775,2.1,Merton
clmts,17775,2,Newham
clmts,17775,1.4,Redbridge
clmts,17775,1.3,Richmond upon Thames
clmts,17775,3.5,Southwark
clmts,17775,2.4,Sutton
clmts,17775,3,Tower Hamlets
clmts,17775,2.2,Waltham Forest
clmts,17775,1.5,Wandsworth
clmts,17775,1.5,Westminster
clmts,17775,2.2,United Kingdom
clmts,17805,3,Barking & Dagenham
clmts,17805,1.6,Barnet
clmts,17805,1.2,Bexley
clmts,17805,2.2,Brent
clmts,17805,1.2,Bromley
clmts,17805,1.5,Camden
clmts,17805,1.1,City of London
clmts,17805,3.9,Croydon
clmts,17805,2.8,Ealing
clmts,17805,2.7,Enfield
clmts,17805,2,Greenwich
clmts,17805,2.5,Hackney
clmts,17805,3.4,Hammersmith & Fulham
clmts,17805,2.4,Haringey
clmts,17805,1.3,Harrow
clmts,17805,1.7,Havering
clmts,17805,1.3,Hillingdon
clmts,17805,3.2,Hounslow
clmts,17805,2.4,Islington
clmts,17805,1.8,Kensington & Chelsea
clmts,17805,1.3,Kingston upon Thames
clmts,17805,3,Lambeth
clmts,17805,2.7,Lewisham
clmts,17805,2.2,Merton
clmts,17805,2.1,Newham
clmts,17805,1.5,Redbridge
clmts,17805,1.3,Richmond upon Thames
clmts,17805,3.5,Southwark
clmts,17805,2.3,Sutton
clmts,17805,3,Tower Hamlets
clmts,17805,2.3,Waltham Forest
clmts,17805,1.5,Wandsworth
clmts,17805,1.5,Westminster
clmts,17805,2.2,United Kingdom
clmts,17836,3.1,Barking & Dagenham
clmts,17836,1.7,Barnet
clmts,17836,1.2,Bexley
clmts,17836,2.2,Brent
clmts,17836,1.3,Bromley
clmts,17836,1.6,Camden
clmts,17836,1,City of London
clmts,17836,3.9,Croydon
clmts,17836,2.8,Ealing
clmts,17836,2.8,Enfield
clmts,17836,1.9,Greenwich
clmts,17836,2.5,Hackney
clmts,17836,3.4,Hammersmith & Fulham
clmts,17836,2.3,Haringey
clmts,17836,1.4,Harrow
clmts,17836,1.8,Havering
clmts,17836,1.2,Hillingdon
clmts,17836,3.1,Hounslow
clmts,17836,2.5,Islington
clmts,17836,1.8,Kensington & Chelsea
clmts,17836,1.4,Kingston upon Thames
clmts,17836,3,Lambeth
clmts,17836,2.8,Lewisham
clmts,17836,2.2,Merton
clmts,17836,2.1,Newham
clmts,17836,1.6,Redbridge
clmts,17836,1.4,Richmond upon Thames
clmts,17836,3.5,Southwark
clmts,17836,2.4,Sutton
clmts,17836,3,Tower Hamlets
clmts,17836,2.4,Waltham Forest
clmts,17836,1.5,Wandsworth
clmts,17836,1.6,Westminster
clmts,17836,2.3,United Kingdom
clmts,17866,3.2,Barking & Dagenham
clmts,17866,1.8,Barnet
clmts,17866,1.3,Bexley
clmts,17866,2.2,Brent
clmts,17866,1.4,Bromley
